,,Location,
" PENICILLIN G K 24,000,000 UNITS/240 ML NS ELASTOMERIC",,,
ABACAVIR 300 MG TABLET,VIT,,
ABACAVIR 600 MG-DOLUTEGRAVIR 50 MG-LAMIVUDINE 300 MG TABLET,VIT,,
ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET,VIT,,
ABATACEPT (ORENCIA) IN 100 ML NS IVPB,STR,,
ABEMACICLIB 50 MG TABLET,STR,,
ABIRATERONE 250 MG TABLET,STR,,
ABIRATERONE 500 MG TABLET,STR,,
"ACAMPROSATE 333 MG TABLET,DELAYED RELEASE",STR,,
ACARBOSE 100 MG TABLET,STR,,
ACARBOSE 25 MG TABLET,STR,,
ACARBOSE 50 MG TABLET,STR,,
ACAMPROSATE 333 MG TABLET,STR,,
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",STR,,
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,STR,,
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,STR,,
ACETAMINOPHEN 325 MG TABLET,VIT,VIT,Vitamin Section
ACETAMINOPHEN 325 MG/10.15 ML ORAL SOLUTION,PHRM,,
ACETAMINOPHEN 650 MG IN STERILE DILUENT 65 ML IVPB,STR,,
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,PHRM,,
ACETAMINOPHEN 650 MG/20.3 ML ORAL SOLUTION,VIT,,
"ACETAMINOPHEN ER 650 MG TABLET,EXTENDED RELEASE",VIT,,
ACETAZOLAMIDE 250 MG TABLET,STR,,
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,STR,,
ACETIC ACID 0.25 % IRRIGATION SOLUTION,STR,,
ACETYLCYSTEINE (LOADING DOSE) IV INFUSION,STR,,
ACETYLCYSTEINE (SECOND DOSE) IV INFUSION,STR,,
ACETYLCYSTEINE (THIRD DOSE) IV INFUSION,STR,,
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION 4ML VIAL,PHRM,,
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION 4ML VIAL,PHRM,,
ACETYLCYSTEINE 600 MG CAPSULE,STR,,
ACETYLCYSTEINE IN 250 ML D5W,STR,,
ACETYLCYSTEINE IN 500 ML D5W,STR,,
ACETYLCYSTEINE INFUSION,STR,,
ACORAMIDIS 356 MG TABLET,STR,,
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION,STR,,
ACYCLOVIR 200 MG CAPSULE,STR,,
ACYCLOVIR 500 MG IN NS 100 ML PYXIS MINIBAG,STR,,
ACYCLOVIR IVPB,STR,,
ACYCLOVIR IVPB IN 250 ML,STR,,
ADALIMUMAB 40 MG/0.4 ML SUBCUTANEOUS PEN KIT,STR,,
ADALIMUMAB 40 MG/0.8 ML SUBCUTANEOUS PEN KIT,STR,,
ADENOSINE 6 MG/2 ML VIAL,STR,ZONE-3 VIALS(A-E),
ADENOSINE 3 MG/ML INTRAVENOUS SYRINGE,STR,,
ADENOSINE INFUSION,STR,,
ALBENDAZOLE 200 MG TABLET,STR,,
ALBUMIN 25 % ANESTHESIA BOLUS",STR,,
ALBUMIN 25 % INTRAVENOUS SOLUTION",STR,,
ALBUMIN 25 % INTRAVENOUS SOLUTION FOR HEPATORENAL SYNDROME ONLY",STR,,
ALBUMIN 5 % ANESTHESIA BOLUS",STR,,
ALBUMIN 5 % INTRAVENOUS SOLUTION",STR,,
ALBUTEROL 90 MCG-BUDESONIDE 80 MCG/ACTUATION HFA AEROSOL INHALER,VIT,,
ALBUTEROL SULFATE 0.63 MG/3 ML SOLUTION FOR NEBULIZATION,VIT,,
ALBUTEROL SULFATE 1.25 MG/3 ML SOLUTION FOR NEBULIZATION,VIT,,
